organization,andrewid,title,binder_admin,booth_chair
Fringe,mhoad,,,
Fringe,mragawa,,,
Fringe,malder,,,
Fringe,mvinokur,,,
Fringe,mmoskal,,,
Fringe,mnitke,,,
Fringe,mlsimpso,,,
Fringe,mcenglis,,,
Fringe,mayal,,,
Fringe,mmleng,,,
Fringe,melanie2,,,
Fringe,mabai,,,
Fringe,michell4,,,
Fringe,mbarraga,,,
Fringe,nherrman,,,
Fringe,nnaylor,,,
Fringe,nehajosh,,,
Fringe,nksridha,,,
Fringe,nsrivas1,,,
Fringe,ntho,,,
Fringe,ncn,,,
Fringe,openning,,,
Fringe,pssurapa,,,
Fringe,priyaa,,,
Fringe,rhagani,,,
Fringe,rcmartin,,,
Fringe,ry1,,,
Fringe,reannac,,,
Fringe,rli2,,,
Fringe,rnikolov,,,
Fringe,rknavish,,,
Fringe,rsriskan,,,
Fringe,skorivi,,,
Fringe,sroongta,,,
Fringe,spassell,,,
Fringe,sbernal,,,
Fringe,sakamath,,,
Fringe,sspahle,,,
Fringe,shivuma,,,
Fringe,mjsolomo,,,
Fringe,salper,,,
Fringe,sortonur,,,
Fringe,sblackwo,,,
Fringe,sschollm,,,
Fringe,sshirrif,,,
Fringe,tspigner,,,
Fringe,tanvib,,,
Fringe,tgirdhar,,,
Fringe,ttinley,,,
Fringe,vcollin1,,,
Fringe,vlopez,,,
Fringe,vidhip,,,
Fringe,viviansu,,,
Fringe,wwzeng,,,
Alpha Phi ,soc,,,TRUE
Alpha Phi ,glumaj,,,TRUE
Alpha Phi ,vkubyshk,,,TRUE
Alpha Phi ,zhaskell,,,TRUE
Alpha Phi ,efuller,,,TRUE
Alpha Phi ,drazek,,,TRUE
Alpha Phi ,slavelle,,,TRUE
Alpha Phi ,jakoad,,,
Alpha Phi ,jaallen,,,
Alpha Phi ,sbattagl,,,
Alpha Phi ,gbettino,,,
Alpha Phi ,nchintam,,,
Alpha Phi ,sconstan,,,
Alpha Phi ,aditomma,,,
Alpha Phi ,ydogupar,,,
Alpha Phi ,adoncell,,,
Alpha Phi ,adunford,,,
Alpha Phi ,aelliott,,,
Alpha Phi ,cenders,,,
Alpha Phi ,aaevans,,,
Alpha Phi ,sjfisher,,,
Alpha Phi ,jmgao,,,
Alpha Phi ,lglick,,,
Alpha Phi ,chaney,,,
Alpha Phi ,leheller,,,
Alpha Phi ,ghou,,,
Alpha Phi ,showard,,,
Alpha Phi ,glacarte,,,
Alpha Phi ,jennife5,,,
Alpha Phi ,reinal,,,
Alpha Phi ,glmanche,,,
Alpha Phi ,simayer,,,
Alpha Phi ,lmorgent,,,
Alpha Phi ,snakai,,,
Alpha Phi ,anavada,,,
Alpha Phi ,amyp1,,,
Alpha Phi ,bpellon,,,
Alpha Phi ,mranta,,,
Alpha Phi ,aribota,,,
Alpha Phi ,srunke,,,
Alpha Phi ,lrushkin,,,
Alpha Phi ,ssacks,,,
Alpha Phi ,scanloncassie,,,
Alpha Phi ,mirandas,,,
Alpha Phi ,eschenke,,,
Alpha Phi ,tsiddhar,,,
Alpha Phi ,csimon2,,,
Alpha Phi ,mjtang,,,
Alpha Phi ,anaghav,,,
Alpha Phi ,jmwan,,,
Alpha Phi ,stephanw,,,
Alpha Phi ,bweng,,,
Alpha Phi ,myeakel,,,
Alpha Phi ,ablack1,,,
Alpha Phi ,tiand,,,
Alpha Phi ,agilson,,,
Alpha Phi ,gcjin,,,
Alpha Phi ,carlyj,,,
Alpha Phi ,saachik,,,
Alpha Phi ,rmandal,,,
Alpha Phi ,Vmramon,,,
Alpha Phi ,nrazek,,,
Alpha Phi ,mreager,,,
Alpha Phi ,jesinger,,,
Alpha Phi ,aspikes,,,
Alpha Phi ,minniew,,,
Alpha Phi ,vyam,,,
Alpha Phi ,kaiyiny,,,
Alpha Phi ,myelsang,,,
Kappa Alpha Theta,emolitor,,,TRUE
Kappa Alpha Theta,lrunels,,,TRUE
Kappa Alpha Theta,sealy,,,TRUE
Kappa Alpha Theta,ameringe,,,TRUE
Kappa Alpha Theta,susiel,,,TRUE
Kappa Alpha Theta,lxy,,,
Kappa Alpha Theta,ltrusche,,,
Kappa Alpha Theta,cdeiss,,,
Kappa Alpha Theta,acchu,,,
Kappa Alpha Theta,malbert,,,
Kappa Alpha Theta,msr,,,
Kappa Alpha Theta,lmarty,,,
Kappa Alpha Theta,smallepa,,,
Kappa Alpha Theta,ankitaj,,,
Kappa Alpha Theta,gracielg,,,
Kappa Alpha Theta,sbhathej,,,
Kappa Alpha Theta,dbhanja,,,
Kappa Alpha Theta,kforrest,,,
Kappa Alpha Theta,lapereir,,,
Kappa Alpha Theta,vlf,,,
Kappa Alpha Theta,msohollo,,,
Kappa Alpha Theta,jslomka,,,
Kappa Alpha Theta,kmarcan,,,
Kappa Alpha Theta,radhikag,,,
Kappa Alpha Theta,kbusatto,,,
Kappa Alpha Theta,mjaeb,,,
Kappa Alpha Theta,kyoungby,,,
Kappa Alpha Theta,gvennitt,,,
Kappa Alpha Theta,atorubar,,,
Kappa Alpha Theta,hreynolds,,,
Kappa Alpha Theta,vkrao,,,
Kappa Alpha Theta,cmastrog,,,
Kappa Alpha Theta,slenart,,,
Kappa Alpha Theta,kkeough,,,
Kappa Alpha Theta,kghiggin,,,
Kappa Alpha Theta,efinnera,,,
Kappa Alpha Theta,tdurstew,,,
Kappa Alpha Theta,asandova,,,
Kappa Alpha Theta,cfwillia,,,
Kappa Alpha Theta,wardak,,,
Kappa Alpha Theta,kagreene,,,
Kappa Alpha Theta,mstrome,,,
Kappa Alpha Theta,aspahn,,,
Kappa Alpha Theta,sjn,,,
Kappa Alpha Theta,sihamilt,,,
Kappa Alpha Theta,kaliston,,,
Kappa Alpha Theta,aakin1,,,
Kappa Alpha Theta,handerso,,,
Kappa Alpha Theta,ntucker,,,
Kappa Alpha Theta,akuznick,,,
Kappa Alpha Theta,tcammara,,,
Kappa Alpha Theta,ahz1,,,
Kappa Alpha Theta,vdt,,,
Kappa Alpha Theta,sslutsky,,,
Kappa Alpha Theta,mollyf,,,
Kappa Alpha Theta,mdeguere,,,
Kappa Alpha Theta,mcech,,,
Kappa Alpha Theta,alulushi,,,
Kappa Alpha Theta,sshirrif,,,
Kappa Alpha Theta,sramsay,,,
Kappa Alpha Theta,spollock,,,
Kappa Alpha Theta,kpetraki,,,
Kappa Alpha Theta,ikramkov,,,
Kappa Alpha Theta,ukommine,,,
Kappa Alpha Theta,esk2,,,
Kappa Alpha Theta,sgollis,,,
Kappa Alpha Theta,ewestber,,,
Kappa Alpha Theta,carries2,,,
Kappa Alpha Theta,bliberch,,,
Kappa Alpha Theta,annasopb,,,
Kappa Alpha Theta,gmarkey,,,
Kappa Alpha Theta,ofernau,,,
Sustainable Earth,mjforsyt,,,TRUE
Sustainable Earth,ehusted,,,
Sustainable Earth,Leheller,,,
Sustainable Earth,mnaji,,,
Sustainable Earth,csabouri,,,
Sustainable Earth,chunminz,,,
Sustainable Earth,nxs,,,
Sustainable Earth,sarahwu,,,
Sustainable Earth,Jstanisl,,,
Sustainable Earth,ezeng,,,
Sustainable Earth,asmui,,,
Sustainable Earth,smcallis,,,
Sustainable Earth,ashu,,,
Sustainable Earth,yifanzho,,,
Sustainable Earth,smacdona,,,
Sustainable Earth,bhlee,,,
Alpha Chi Omega,lindax,,,TRUE
Alpha Chi Omega,hannajan,,,TRUE
Alpha Chi Omega,mkerber1,,,TRUE
Alpha Chi Omega,gvlai,,,TRUE
Alpha Chi Omega,ssangel,,,
Alpha Chi Omega,pasthana,,,
Alpha Chi Omega,dblank,,,
Alpha Chi Omega,kbylanci,,,
Alpha Chi Omega,ecamele,,,
Alpha Chi Omega,jtc1,,,
Alpha Chi Omega,seoyounc,,,
Alpha Chi Omega,ric,,,
Alpha Chi Omega,vciplick,,,
Alpha Chi Omega,sdamodar,,,
Alpha Chi Omega,kdiaz,,,
Alpha Chi Omega,sihand,,,
Alpha Chi Omega,ndongre,,,
Alpha Chi Omega,hmdougla,,,
Alpha Chi Omega,yanhaomf,,,
Alpha Chi Omega,ameeshig,,,
Alpha Chi Omega,hannahhe,,,
Alpha Chi Omega,srhempton,,,
Alpha Chi Omega,lphendri,,,
Alpha Chi Omega,jhon,,,
Alpha Chi Omega,lianglij,,,
Alpha Chi Omega,dkass,,,
Alpha Chi Omega,misak,,,
Alpha Chi Omega,estherl,,,
Alpha Chi Omega,monicale,,,
Alpha Chi Omega,suelee,,,
Alpha Chi Omega,sleelama,,,
Alpha Chi Omega,bonniel1,,,
Alpha Chi Omega,sluongo,,,
Alpha Chi Omega,asmui,,,
Alpha Chi Omega,cou,,,
Alpha Chi Omega,mpitts,,,
Alpha Chi Omega,anamarip,,,
Alpha Chi Omega,hpreston,,,
Alpha Chi Omega,meixuanq,,,
Alpha Chi Omega,mcreed,,,
Alpha Chi Omega,sroslin,,,
Alpha Chi Omega,yanans1,,,
Alpha Chi Omega,kyshi,,,
Alpha Chi Omega,nyshin,,,
Alpha Chi Omega,ashu,,,
Alpha Chi Omega,xsima,,,
Alpha Chi Omega,ksingara,,,
Alpha Chi Omega,msint,,,
Alpha Chi Omega,sspahle,,,
Alpha Chi Omega,nsubbiah,,,
Alpha Chi Omega,wsummer,,,
Alpha Chi Omega,csuvarna,,,
Alpha Chi Omega,yaxint,,,
Alpha Chi Omega,bridgett,,,
Alpha Chi Omega,nthursto,,,
Alpha Chi Omega,mtsang1,,,
Alpha Chi Omega,avallon,,,
Alpha Chi Omega,sarahwan,,,
Alpha Chi Omega,kewarren,,,
Alpha Chi Omega,mawillia,,,
Alpha Chi Omega,mereditw,,,
Alpha Chi Omega,swong1,,,
Alpha Chi Omega,xinyuwu2,,,
Alpha Chi Omega,hhxia,,,
Alpha Chi Omega,yuhanx,,,
Alpha Chi Omega,csxu,,,
Alpha Chi Omega,xyang1,,,
Alpha Chi Omega,ayerneni,,,
Alpha Chi Omega,ecyou,,,
Alpha Chi Omega,jacquelz,,,
Delta Gamma,sslabins,,,TRUE
Delta Gamma,juyeonk,,,TRUE
Delta Gamma,klambert,,,TRUE
Delta Gamma,ewfrankl,,,TRUE
Delta Gamma,mslevin,,,TRUE
Delta Gamma,vla,,,
Delta Gamma,skbattag,,,
Delta Gamma,sbazo,,,
Delta Gamma,sbegane,,,
Delta Gamma,mbomberg,,,
Delta Gamma,etbrenna,,,
Delta Gamma,cchang,,,
Delta Gamma,sychoi,,,
Delta Gamma,jchui1,,,
Delta Gamma,scordov1,,,
Delta Gamma,mcruff,,,
Delta Gamma,ldegroot,,,
Delta Gamma,jdelator,,,
Delta Gamma,tdirks,,,
Delta Gamma,msdrisco,,,
Delta Gamma,arestrad,,,
Delta Gamma,hannahf,,,
Delta Gamma,kagibson,,,
Delta Gamma,sgough,,,
Delta Gamma,megould,,,
Delta Gamma,jennyh1,,,
Delta Gamma,xinyihu,,,
Delta Gamma,eiszauk,,,
Delta Gamma,sjurgens,,,
Delta Gamma,hyunjik1,,,
Delta Gamma,jennyki1,,,
Delta Gamma,akloehn,,,
Delta Gamma,gkupfers,,,
Delta Gamma,jeongyul,,,
Delta Gamma,mleppla,,,
Delta Gamma,jamayer,,,
Delta Gamma,pmckeefr,,,
Delta Gamma,roshnim,,,
Delta Gamma,bnn,,,
Delta Gamma,anathani,,,
Delta Gamma,jodiase,,,
Delta Gamma,ashvip,,,
Delta Gamma,kphelps2,,,
Delta Gamma,cpitts,,,
Delta Gamma,eporat,,,
Delta Gamma,mpullen,,,
Delta Gamma,rrandell,,,
Delta Gamma,ereuss,,,
Delta Gamma,mschamin,,,
Delta Gamma,ocs,,,
Delta Gamma,cscoggin,,,
Delta Gamma,oseavy,,,
Delta Gamma,nsegale,,,
Delta Gamma,ssill,,,
Delta Gamma,csotires,,,
Delta Gamma,absoto,,,
Delta Gamma,kstargio,,,
Delta Gamma,ktang1,,,
Delta Gamma,stulluri,,,
Delta Gamma,nwaldram,,,
Delta Gamma,hweishae,,,
Delta Gamma,oweiss,,,
Delta Gamma,mwellene,,,
Delta Gamma,jwiskers,,,
Delta Gamma,mwiggles,,,
Delta Gamma,margretw,,,
Delta Gamma,kellyy,,,
Delta Gamma,kzapanta,,,
Delta Gamma,zzetlin,,,
Delta Gamma,wenyiz,,,
Delta Gamma,mzurovac,,,
Delta Gamma,kushald,,,
Kappa Sigma ,cjwalsh,,,TRUE
Kappa Sigma ,kdanon,,,TRUE
Kappa Sigma ,hcaffrey,,,TRUE
Kappa Sigma ,dchoyos,,,TRUE
Kappa Sigma ,cbackman,,,TRUE
Kappa Sigma ,sogus,,,
Kappa Sigma ,gyao,,,
Kappa Sigma ,ckwak,,,
Kappa Sigma ,rrizvi,,,
Kappa Sigma ,jreichgu,,,
Kappa Sigma ,jeffkang,,,
Kappa Sigma ,aoshiro,,,
Kappa Sigma ,lamblard,,,
Kappa Sigma ,athahn,,,
Kappa Sigma ,dskifsta,,,
Kappa Sigma ,asosa,,,
Kappa Sigma ,kaggarwa,,,
Kappa Sigma ,msadiku,,,
Kappa Sigma ,bpsteinb,,,
Kappa Sigma ,jcurcio,,,
Kappa Sigma ,smontiel,,,
Kappa Sigma ,bcli,,,
Kappa Sigma ,bmetjahi,,,
Kappa Sigma ,lubhaank,,,
Kappa Sigma ,lsnow,,,
Kappa Sigma ,ericwan,,,
Kappa Sigma ,andrewl3,,,
Kappa Sigma ,kfrey,,,
Kappa Sigma ,aaronlam,,,
Kappa Sigma ,jerryl,,,
Kappa Sigma ,jegoldbe,,,
Kappa Sigma ,jessec1,,,
Kappa Sigma ,jrushkof,,,
Kappa Sigma ,gwanders,,,
Kappa Sigma ,prathamg,,,
Kappa Sigma ,etinati,,,
American Society of Chemical Engineers,efarrell,,,TRUE
American Society of Chemical Engineers,sjhegde,,,TRUE
American Society of Chemical Engineers,ttbrown,,,TRUE
American Society of Chemical Engineers,acosatto,,,
American Society of Chemical Engineers,andrewth,,,
American Society of Chemical Engineers,rgalindo,,,
American Society of Chemical Engineers,bhlee,,,
American Society of Chemical Engineers,ccoyle,,,
American Society of Chemical Engineers,Yunqicht,,,
American Society of Chemical Engineers,conyenkp,,,
American Society of Chemical Engineers,ddugar,,,
American Society of Chemical Engineers,ealbergo,,,
American Society of Chemical Engineers,gbb,,,
American Society of Chemical Engineers,Heleny1,,,
American Society of Chemical Engineers,Jnwang,,,
American Society of Chemical Engineers,Elinvill,,,
American Society of Chemical Engineers,kangruir,,,
American Society of Chemical Engineers,kbkramer,,,
American Society of Chemical Engineers,leheller,,,
American Society of Chemical Engineers,mcreed,,,
American Society of Chemical Engineers,rlyster,,,
American Society of Chemical Engineers,rusnay,,,
American Society of Chemical Engineers,rrusali,,,
American Society of Chemical Engineers,kexinc,,,
American Society of Chemical Engineers,snaphtal,,,
American Society of Chemical Engineers,skylarm,,,
American Society of Chemical Engineers,swwong,,,
American Society of Chemical Engineers,tgoforth,,,
American Society of Chemical Engineers,vco,,,
American Society of Chemical Engineers,vding,,,
American Society of Chemical Engineers,wzhao3,,,
American Society of Chemical Engineers,yifanz1,,,
American Society of Chemical Engineers,yiqizhou,,,
American Society of Chemical Engineers,ylai1,,,
Architecture Pavilion (Entranceway),eafische,,,TRUE
Architecture Pavilion (Entranceway),rkondrup,,,TRUE
Architecture Pavilion (Entranceway),galsanea,,,TRUE
Architecture Pavilion (Entranceway),ggiampap,,,
Architecture Pavilion (Entranceway),frankliz,,,
Architecture Pavilion (Entranceway),anjalik,,,
Architecture Pavilion (Entranceway),mpisarci,,,
Architecture Pavilion (Entranceway),mkubota,,,
Architecture Pavilion (Entranceway),abhartia,,,
Architecture Pavilion (Entranceway),kpeppas,,,
Architecture Pavilion (Entranceway),ankithav,,,
Architecture Pavilion (Entranceway),jgarwood,,,
Architecture Pavilion (Entranceway),larandal,,,
Architecture Pavilion (Entranceway),csacco,,,
Architecture Pavilion (Entranceway),owerner,,,
Architecture Pavilion (Entranceway),jsawkar,,,
Architecture Pavilion (Entranceway),ahassonj,,,
Architecture Pavilion (Entranceway),tmanheim,,,
Architecture Pavilion (Entranceway),jliang2,,,
Architecture Pavilion (Entranceway),lasuarez,,,
Architecture Pavilion (Entranceway),fcreech,,,
Architecture Pavilion (Entranceway),kirmanh,,,
Architecture Pavilion (Entranceway),lluk,,,
Architecture Pavilion (Entranceway),amw1,,,
Architecture Pavilion (Entranceway),jmoskow1,,,
Architecture Pavilion (Entranceway),odh,,,
Architecture Pavilion (Entranceway),cduong,,,
Architecture Pavilion (Entranceway),elehner,,,
Architecture Pavilion (Entranceway),amayorga,,,
Architecture Pavilion (Entranceway),tharkare,,,
Architecture Pavilion (Entranceway),jordand,,,
Architecture Pavilion (Entranceway),ameza,,,
Architecture Pavilion (Entranceway),dnoh,,,
Architecture Pavilion (Entranceway),grjang,,,
Architecture Pavilion (Entranceway),sntong,,,
Architecture Pavilion (Entranceway),mspowell,,,
Architecture Pavilion (Entranceway),ihaider,,,
Architecture Pavilion (Entranceway),gthakkar,,,
Architecture Pavilion (Entranceway),jtyan,,,
Architecture Pavilion (Entranceway),malberol,,,
Architecture Pavilion (Entranceway),maddij,,,
Architecture Pavilion (Entranceway),lnijem,,,
Architecture Pavilion (Entranceway),srinjoyh,,,
Architecture Pavilion (Entranceway),wulmer,,,
Architecture Pavilion (Entranceway),jsilvert,,,
Architecture Pavilion (Entranceway),btrew,,,
Architecture Pavilion (Entranceway),anuroyv,,,
Architecture Pavilion (Entranceway),deepthig,,,
Sigma Phi Epsilon,bcontess,,,TRUE
Sigma Phi Epsilon,ceckrich,,,TRUE
Sigma Phi Epsilon,dkmurray,,,TRUE
Sigma Phi Epsilon,ajbrooks,,,TRUE
Sigma Phi Epsilon,jsprong,,,
Sigma Phi Epsilon,wcrouch,,,
Sigma Phi Epsilon,lgalvan,,,
Sigma Phi Epsilon,armanh,,,
Sigma Phi Epsilon,bbakerma,,,
Sigma Phi Epsilon,tsmichae,,,
Sigma Phi Epsilon,fds,,,
Sigma Phi Epsilon,mstanley,,,
Sigma Phi Epsilon,mpiroli,,,
Sigma Phi Epsilon,wdumas,,,
Sigma Phi Epsilon,meltaeb,,,
Sigma Phi Epsilon,jmuskovi,,,
Sigma Phi Epsilon,nswamin1,,,
Sigma Phi Epsilon,gferrant,,,
Sigma Phi Epsilon,kfuruhat,,,
Sigma Phi Epsilon,mmadadi,,,
Sigma Phi Epsilon,zsaffran,,,
Sigma Phi Epsilon,jleigh,,,
Sigma Phi Epsilon,aconduff,,,
Sigma Phi Epsilon,jmoavenz,,,
Sigma Phi Epsilon,roaceved,,,
Sigma Phi Epsilon,sadiaz,,,
Sigma Phi Epsilon,pfelterm,,,
Sigma Phi Epsilon,magandhi,,,
Sigma Phi Epsilon,phjohnso,,,
Sigma Phi Epsilon,dkleiman,,,
Sigma Phi Epsilon,jmalka,,,
Sigma Phi Epsilon,jeanpaun,,,
Sigma Phi Epsilon,sburleig,,,
Sigma Phi Epsilon,ttinley,,,
Sigma Phi Epsilon,abellomo,,,
Sigma Phi Epsilon,cdiminic,,,
Sigma Phi Epsilon,bhevans,,,
Sigma Phi Epsilon,otk,,,
Sigma Phi Epsilon,pkoltas,,,
Sigma Phi Epsilon,joshuali,,,
Sigma Phi Epsilon,gmagendz,,,
Sigma Phi Epsilon,john,,,
Sigma Phi Epsilon,dportell,,,
Sigma Phi Epsilon,nravi,,,
Sigma Phi Epsilon,erross,,,
Sigma Phi Epsilon,kowagner,,,
Sigma Phi Epsilon,jcheng2,,,
Sigma Phi Epsilon,pdecicco,,,
Sigma Phi Epsilon,jgualtie,,,
Sigma Phi Epsilon,fcliu,,,
Sigma Phi Epsilon,bstone,,,
Sigma Phi Epsilon,gltang,,,
Sigma Phi Epsilon,kbakos,,,
Sigma Phi Epsilon,agao,,,
Sigma Phi Epsilon,tpreddy,,,
Sigma Phi Epsilon,cryoung,,,
Sigma Phi Epsilon,gsmeden,,,
Sigma Phi Epsilon,adzienis,,,
Sigma Phi Epsilon,landjeli,,,
Sigma Phi Epsilon,nmacchio,,,
Sigma Phi Epsilon,jcrews,,,
Sigma Phi Epsilon,evelge,,,
Sigma Phi Epsilon,taziz,,,
Sigma Phi Epsilon,akelesog,,,
Sigma Phi Epsilon,rdaukshe,,,
Sigma Phi Epsilon,dsanmigu,,,
Sigma Phi Epsilon,minhyung,,,
Sigma Phi Epsilon,nshao,,,
Sigma Phi Epsilon,iej,,,
Sigma Phi Epsilon,ahassonj,,,
Sigma Phi Epsilon,nathanan,,,
Sigma Phi Epsilon,rgess,,,
Sigma Phi Epsilon,noelb,,,
Sigma Phi Epsilon,fdean,,,
Sigma Phi Epsilon,gkasha,,,
Sigma Phi Epsilon,asaalfel,,,
Asian Student Association,cjye,,,TRUE
Asian Student Association,echoi,,,TRUE
Asian Student Association,elucero,,,TRUE
Asian Student Association,lkesavan,,,TRUE
Asian Student Association,chelseaw,,,TRUE
Asian Student Association,mwyang,,,
Asian Student Association,vadams,,,
Asian Student Association,jwruffle,,,
Asian Student Association,ekfan,,,
Asian Student Association,shaneo,,,
Asian Student Association,michellw,,,
Asian Student Association,hkhang,,,
Asian Student Association,summerl,,,
Asian Student Association,myou,,,
Asian Student Association,jinal2,,,
Asian Student Association,bxw,,,
Asian Student Association,katielee,,,
Asian Student Association,madelinl,,,
Asian Student Association,jmwan,,,
Asian Student Association,ayu1,,,
Asian Student Association,shenghah,,,
Asian Student Association,emilychu,,,
Asian Student Association,victoril,,,
Asian Student Association,vy,,,
Asian Student Association,munsungk,,,
Asian Student Association,jokoro,,,
Asian Student Association,jhxue,,,
